id,Date,Close,Strategy
0,20210301,69.97920853080238,Hold
1,20210308,70.43564845181221,Hold
2,20210315,70.16852660368984,Hold
3,20210322,69.89282072241306,Hold
4,20210329,70.41416468432243,Hold
5,20210405,72.10688747149798,Buy
6,20210412,69.95584209083314,Hold
7,20210419,69.03209724864074,Hold
8,20210426,68.88241881450486,Hold
9,20210503,66.13249902935625,Hold
10,20210510,66.56997002543443,Hold
11,20210517,66.52915305190731,Hold
12,20210524,67.21961447081098,Hold
13,20210531,67.08892984187156,Hold
14,20210607,66.9544589467706,Hold
15,20210614,66.70381069128942,Hold
16,20210621,65.62467951584672,Hold
17,20210628,67.4746424068161,Hold
18,20210705,66.99291247487551,Hold
19,20210712,67.0542799785703,Hold
20,20210719,67.52040357626812,Hold
21,20210726,67.93485764110694,Hold
22,20210802,67.44550628941626,Hold
23,20210809,67.64224537301433,Hold
24,20210816,68.07314948302603,Sell
25,20210823,67.64020514656282,Hold
26,20210830,68.03621937166831,Sell
27,20210906,70.96317820911989,Sell
28,20210913,70.35706801184384,Sell
29,20210920,71.1160594309045,Sell
30,20210927,71.06793390899013,Sell
31,20211004,71.01761792632085,Sell
32,20211011,72.16737685862043,Sell
33,20211018,71.6304790589637,Hold
34,20211025,70.7294087846918,Hold
35,20211101,73.62338733483142,Sell
36,20211108,71.5924096292901,Sell
37,20211115,73.66120610661886,Sell
38,20211122,72.35371159820728,Hold
39,20211129,70.35971911946226,Hold
40,20211206,71.2266831768602,Hold
41,20211213,71.04725254153361,Sell
42,20211220,73.29312228386708,Sell
43,20211227,72.78817244885416,Sell
44,20220103,73.09547073633763,Sell
45,20220110,71.50582407033468,Sell
46,20220117,70.76942157113523,Sell
47,20220124,69.87778792250013,Hold
48,20220131,72.49328661312902,Sell
49,20220207,70.80862022346267,Hold
50,20220214,73.00501841532672,Sell
51,20220221,72.65436545842212,Sell
52,20220228,70.81358152556218,Sell
53,20220307,70.73681757022416,Sell
54,20220314,70.14974608077742,Sell
55,20220321,70.30215637136712,Sell
56,20220328,70.79791869297657,Sell
57,20220404,72.12346795227744,Sell
58,20220411,70.17940799856234,Hold
59,20220418,71.54600842247554,Hold
60,20220425,71.02549473316631,Hold
61,20220502,70.90171306720562,Sell
62,20220509,71.04588840506754,Sell
63,20220516,70.81556684127045,Sell
64,20220523,71.29470206507433,Sell
65,20220530,70.97326883034879,Sell
66,20220606,69.92308961810184,Hold
67,20220613,70.43370908582723,Hold
68,20220620,69.78640530719203,Sell
69,20220627,71.15674752104977,Sell
70,20220704,67.65479126662504,Sell
71,20220711,66.80365096599338,Hold
72,20220718,66.94369754143933,Sell
73,20220725,67.04515637160532,Hold
74,20220801,71.49435376201949,Sell
75,20220808,68.04942294214311,Sell
76,20220815,59.61793531956978,Hold
77,20220822,63.63489472609403,Hold
78,20220829,59.3861109497878,Hold
79,20220905,69.91948647587678,Sell
80,20220912,70.3490162754361,Sell
81,20220919,70.3839165078134,Sell
82,20220926,69.34549601771836,Sell
83,20221003,69.80322105655594,Sell
84,20221010,73.4562284167743,Sell
85,20221017,63.63751910318424,Sell
86,20221024,59.90108254642275,Hold
87,20221031,57.23265104199336,Hold
88,20221107,59.71309800502922,Hold
89,20221114,59.82550903262699,Hold
90,20221121,70.3645077938349,Sell
91,20221128,63.883197232559986,Hold
92,20221205,69.14150883879731,Hold
93,20221212,65.57778928930186,Sell
94,20221219,66.41652557142133,Hold
95,20221226,72.0572610905953,Sell
96,20230102,76.58130824844908,Sell
97,20230109,79.1341329285806,Sell
98,20230116,80.36567609414978,Hold
99,20230123,80.59733282826939,Hold
